advantage_type,lastFoundAt,event_name,event_start_time,market_type,market_segment,modifier,payout,source,live,participant_name,participant_shortName,sport_type
ARBITRAGE,"December 10, 2025 at 11:17 PM",Detroit Lions @ Los Angeles Rams,"December 14, 2025 at 09:25 PM",MONEYLINE,FULL_MATCH,0.0,1.42,BET_MGM,False,Los Angeles Rams,LAR,AMERICAN_FOOTBALL
ARBITRAGE,"December 10, 2025 at 11:17 PM",Detroit Lions @ Los Angeles Rams,"December 14, 2025 at 09:25 PM",MONEYLINE,FULL_MATCH,0.0,3.4,BOVADA,False,Detroit Lions,DET,AMERICAN_FOOTBALL
ARBITRAGE,"December 10, 2025 at 11:17 PM",Detroit Lions @ Los Angeles Rams,"December 14, 2025 at 09:25 PM",MONEYLINE,FULL_MATCH,0.0,1.42,BET_MGM,False,Los Angeles Rams,LAR,AMERICAN_FOOTBALL
ARBITRAGE,"December 10, 2025 at 11:17 PM",Detroit Lions @ Los Angeles Rams,"December 14, 2025 at 09:25 PM",MONEYLINE,FULL_MATCH,0.0,3.3853,KUTT,False,Detroit Lions,DET,AMERICAN_FOOTBALL
ARBITRAGE,"December 10, 2025 at 11:17 PM",Ottawa Senators @ Columbus Blue Jackets,"December 12, 2025 at 12:00 AM",POINT_SPREAD,FULL_MATCH,-1.5,3.2,BET_PARX,False,Ottawa Senators,OTT,ICE_HOCKEY
ARBITRAGE,"December 10, 2025 at 11:17 PM",Ottawa Senators @ Columbus Blue Jackets,"December 12, 2025 at 12:00 AM",POINT_SPREAD,FULL_MATCH,1.5,1.94,KUTT,False,Columbus Blue Jackets,CBJ,ICE_HOCKEY
ARBITRAGE,"December 10, 2025 at 11:17 PM",Ottawa Senators @ Columbus Blue Jackets,"December 12, 2025 at 12:00 AM",POINT_SPREAD,FULL_MATCH,-1.5,3.15,BET_RIVERS,False,Ottawa Senators,OTT,ICE_HOCKEY
ARBITRAGE,"December 10, 2025 at 11:17 PM",Ottawa Senators @ Columbus Blue Jackets,"December 12, 2025 at 12:00 AM",POINT_SPREAD,FULL_MATCH,1.5,1.94,KUTT,False,Columbus Blue Jackets,CBJ,ICE_HOCKEY
ARBITRAGE,"December 10, 2025 at 11:17 PM",Ottawa Senators @ Columbus Blue Jackets,"December 12, 2025 at 12:00 AM",POINT_SPREAD,FULL_MATCH,-1.5,3.2,BOVADA,False,Ottawa Senators,OTT,ICE_HOCKEY
ARBITRAGE,"December 10, 2025 at 11:17 PM",Ottawa Senators @ Columbus Blue Jackets,"December 12, 2025 at 12:00 AM",POINT_SPREAD,FULL_MATCH,1.5,1.94,KUTT,False,Columbus Blue Jackets,CBJ,ICE_HOCKEY
